Temp[C],Pressure[kPa(abs)],Volume[m3/kg]_Liquidvf,Volume[m3/kg]_Vaporvg,Density[kg/m3]_Liquid1/vf,Density[kg/m3]_Vapor1/vg,Enthalpy[kJ/kg]_Liquidhf,Enthalpy[kJ/kg]_Latenthfg,Enthalpy[kJ/kg]_Vaporhg,Entropy[kJ/(kg)(K)]_Liquidsf,Entropy[kJ/(kg)(K)]_Vaporsg
-100,0.57,0.0006,25,1580.5,0.04,77.3,259.9,337.2,0.4448,1.946
-99,0.63,0.0006,22.7273,1577.8,0.044,78.4,259.4,337.8,0.4514,1.9407
-98,0.7,0.0006,20.4082,1575,0.049,79.6,258.8,338.4,0.4581,1.9356
-97,0.77,0.0006,18.5185,1572.3,0.054,80.7,258.2,339,0.4646,1.9306
-96,0.86,0.0006,16.9492,1569.5,0.059,81.9,257.7,339.6,0.4711,1.9257
-95,0.95,0.0006,15.3846,1566.8,0.065,83,257.1,340.1,0.4776,1.9209
-94,1.04,0.0006,13.8889,1564.1,0.072,84.2,256.6,340.7,0.4841,1.9161
-93,1.15,0.0006,12.6582,1561.3,0.079,85.3,256,341.3,0.4905,1.9115
-92,1.27,0.0006,11.6279,1558.6,0.086,86.5,255.4,341.9,0.4968,1.907
-91,1.4,0.0006,10.6383,1555.8,0.094,87.6,254.9,342.5,0.5032,1.9025
-90,1.53,0.0006,9.7087,1553.1,0.103,88.8,254.3,343.1,0.5095,1.8982
-89,1.68,0.0006,8.9286,1550.4,0.112,89.9,253.8,343.7,0.5158,1.8939
-88,1.84,0.0006,8.1967,1547.6,0.122,91.1,253.2,344.3,0.522,1.8898
-87,2.02,0.0006,7.5188,1544.9,0.133,92.3,252.7,344.9,0.5282,1.8857
-86,2.2,0.0006,6.8966,1542.1,0.145,93.4,252.1,345.5,0.5344,1.8817
-85,2.41,0.0006,6.3291,1539.4,0.158,94.6,251.6,346.2,0.5406,1.8778
-84,2.63,0.0007,5.848,1536.7,0.171,95.7,251,346.8,0.5467,1.8739
-83,2.86,0.0007,5.4054,1533.9,0.185,96.9,250.5,347.4,0.5528,1.8702
-82,3.11,0.0007,4.9751,1531.2,0.201,98,249.9,348,0.5589,1.8665
-81,3.39,0.0007,4.6083,1528.5,0.217,99.2,249.4,348.6,0.565,1.8629
-80,3.68,0.0007,4.2553,1525.7,0.235,100.4,248.8,349.2,0.571,1.8594
-79,3.99,0.0007,3.9526,1523,0.253,101.5,248.3,349.8,0.577,1.8559
-78,4.33,0.0007,3.663,1520.2,0.273,102.7,247.7,350.4,0.583,1.8525
-77,4.69,0.0007,3.3898,1517.5,0.295,103.9,247.2,351.1,0.589,1.8492
-76,5.07,0.0007,3.1546,1514.8,0.317,105,246.6,351.7,0.5949,1.846
-75,5.48,0.0007,2.9326,1512,0.341,106.2,246.1,352.3,0.6009,1.8428
-74,5.92,0.0007,2.7248,1509.3,0.367,107.4,245.5,352.9,0.6068,1.8397
-73,6.39,0.0007,2.5381,1506.5,0.394,108.6,245,353.5,0.6126,1.8366
-72,6.89,0.0007,2.3641,1503.8,0.423,109.7,244.4,354.2,0.6185,1.8336
-71,7.42,0.0007,2.2075,1501,0.453,110.9,243.9,354.8,0.6243,1.8307
-70,7.98,0.0007,2.0576,1498.3,0.486,112.1,243.3,355.4,0.6302,1.8279
-69,8.58,0.0007,1.9231,1495.5,0.52,113.3,242.8,356,0.636,1.8251
-68,9.22,0.0007,1.7986,1492.8,0.556,114.5,242.2,356.6,0.6417,1.8223
-67,9.89,0.0007,1.6835,1490,0.594,115.6,241.6,357.3,0.6475,1.8196
-66,10.61,0.0007,1.5773,1487.3,0.634,116.8,241.1,357.9,0.6532,1.817
-65,11.37,0.0007,1.4771,1484.5,0.677,118,240.5,358.5,0.659,1.8144
-64,12.18,0.0007,1.385,1481.8,0.722,119.2,239.9,359.2,0.6647,1.8119
-63,13.03,0.0007,1.3004,1479,0.769,120.4,239.4,359.8,0.6704,1.8095
-62,13.93,0.0007,1.221,1476.3,0.819,121.6,238.8,360.4,0.676,1.8071
-61,14.88,0.0007,1.1481,1473.5,0.871,122.8,238.2,361,0.6817,1.8047
-60,15.89,0.0007,1.0799,1470.7,0.926,124,237.7,361.7,0.6873,1.8024
-59,16.95,0.0007,1.0163,1468,0.984,125.2,237.1,362.3,0.6929,1.8001
-58,18.07,0.0007,0.9579,1465.2,1.044,126.4,236.5,362.9,0.6985,1.7979
-57,19.25,0.0007,0.9025,1462.4,1.108,127.6,236,363.6,0.7041,1.7958
